noise,policy,group,accuracy,balanced_accuracy,precision,recall,specificity,f1,utility,harmful_false_recovery,missed_external_contact,tactile_burden,decision_latency,decision_margin,calibration_quality,oracle_regret
nominal,raw_energy_threshold,all,0.628638,0.628638,0.655059,0.543439,0.713836,0.594052,0.498549,0.143082,0.228280,0.061133,0.123571,0.099844,0.601684,0.359292
nominal,uncertainty_gate,all,0.605803,0.605803,0.649786,0.458985,0.752621,0.537969,0.452593,0.123689,0.270507,0.081133,0.133571,0.099617,0.601684,0.405248
nominal,temporal_persistence_gate,all,0.596802,0.596802,0.626874,0.478289,0.715315,0.542593,0.441587,0.142343,0.260856,0.101133,0.143571,0.083637,0.601684,0.416254
nominal,residual_shape_only,all,0.662233,0.662233,0.751321,0.484993,0.839473,0.589470,0.502303,0.080263,0.257504,0.121133,0.153571,0.130447,0.601684,0.355538
nominal,uncalibrated_causal_residual,all,0.687017,0.687017,0.749503,0.561797,0.812238,0.642215,0.538790,0.093881,0.219102,0.141133,0.163571,0.116120,0.601684,0.319051
nominal,calibrated_causal_tactile_residual,all,0.772284,0.772284,0.801373,0.724024,0.820545,0.760737,0.649046,0.089727,0.137988,0.181133,0.173571,0.147007,0.601684,0.208795
nominal,oracle_source_classifier,all,0.952868,0.952868,0.951671,0.954193,0.951543,0.952930,0.869072,0.024229,0.022904,0.221133,0.153571,0.452868,0.601684,0.000000
vibratory_clutter,raw_energy_threshold,all,0.627023,0.627023,0.629487,0.617509,0.636537,0.623440,0.504602,0.181732,0.191246,0.063109,0.125071,0.091170,0.552284,0.353239
vibratory_clutter,uncertainty_gate,all,0.609479,0.609479,0.628019,0.537070,0.681889,0.578995,0.465173,0.159056,0.231465,0.083109,0.135071,0.083532,0.552284,0.392668
vibratory_clutter,temporal_persistence_gate,all,0.596198,0.596198,0.616339,0.509640,0.682757,0.557934,0.440334,0.158621,0.245180,0.103109,0.145071,0.077093,0.552284,0.417508
vibratory_clutter,residual_shape_only,all,0.654559,0.654559,0.746599,0.467941,0.841178,0.575303,0.484027,0.079411,0.266030,0.123109,0.155071,0.135560,0.552284,0.373814
vibratory_clutter,uncalibrated_causal_residual,all,0.682390,0.682390,0.738952,0.564038,0.800743,0.639754,0.527482,0.099628,0.217981,0.143109,0.165071,0.115264,0.552284,0.330359
vibratory_clutter,calibrated_causal_tactile_residual,all,0.759942,0.759942,0.808848,0.680767,0.839117,0.739301,0.621080,0.080442,0.159617,0.183109,0.175071,0.150171,0.552284,0.236761
vibratory_clutter,oracle_source_classifier,all,0.947751,0.947751,0.946567,0.949076,0.946426,0.947820,0.855893,0.026787,0.025462,0.223109,0.155071,0.447751,0.552284,0.001949
dropout_quantization,raw_energy_threshold,all,0.620256,0.620256,0.656932,0.503402,0.737110,0.570010,0.470946,0.131445,0.248299,0.064349,0.127571,0.107551,0.521284,0.386895
dropout_quantization,uncertainty_gate,all,0.600372,0.600372,0.643245,0.450724,0.750020,0.530044,0.434356,0.124990,0.274638,0.084349,0.137571,0.102693,0.521284,0.423486
dropout_quantization,temporal_persistence_gate,all,0.589952,0.589952,0.624656,0.450752,0.729152,0.523643,0.417943,0.135424,0.274624,0.104349,0.147571,0.091530,0.521284,0.439898
dropout_quantization,residual_shape_only,all,0.648801,0.648801,0.744910,0.452587,0.845014,0.563069,0.471203,0.077493,0.273706,0.124349,0.157571,0.140716,0.521284,0.386639
dropout_quantization,uncalibrated_causal_residual,all,0.673148,0.673148,0.745612,0.525631,0.820665,0.616589,0.506495,0.089667,0.237184,0.144349,0.167571,0.123246,0.521284,0.351346
dropout_quantization,calibrated_causal_tactile_residual,all,0.745531,0.745531,0.820366,0.628734,0.862328,0.711879,0.592402,0.068836,0.185633,0.184349,0.177571,0.156055,0.521284,0.265439
dropout_quantization,oracle_source_classifier,all,0.944846,0.944846,0.943670,0.946171,0.943521,0.944919,0.848559,0.028240,0.026915,0.224349,0.157571,0.444846,0.521284,0.009282
