family,source,policy,group,accuracy,balanced_accuracy,precision,recall,specificity,f1,utility,harmful_false_recovery,missed_external_contact,tactile_burden,decision_latency,decision_margin,calibration_quality,oracle_regret
compliance_drift,internal,raw_energy_threshold,all,0.601163,0.300581,0.000000,0.000000,0.601163,0.000000,0.487244,0.398837,0.000000,0.062863,0.125405,0.069503,0.558418,0.370597
compliance_drift,internal,uncertainty_gate,all,0.628339,0.314169,0.000000,0.000000,0.628339,0.000000,0.510001,0.371661,0.000000,0.082863,0.135405,0.067126,0.558418,0.347841
compliance_drift,internal,temporal_persistence_gate,all,0.609507,0.304754,0.000000,0.000000,0.609507,0.000000,0.485725,0.390493,0.000000,0.102863,0.145405,0.052380,0.558418,0.372116
compliance_drift,internal,residual_shape_only,all,0.856564,0.428282,0.000000,0.000000,0.856564,0.000000,0.733662,0.143436,0.000000,0.122863,0.155405,0.200653,0.558418,0.124179
compliance_drift,internal,uncalibrated_causal_residual,all,0.803576,0.401788,0.000000,0.000000,0.803576,0.000000,0.674138,0.196424,0.000000,0.142863,0.165405,0.157010,0.558418,0.183703
compliance_drift,internal,calibrated_causal_tactile_residual,all,0.847647,0.423824,0.000000,0.000000,0.847647,0.000000,0.710487,0.152353,0.000000,0.182863,0.175405,0.193400,0.558418,0.147354
compliance_drift,internal,oracle_source_classifier,all,0.948713,0.474356,0.000000,0.000000,0.948713,0.000000,0.809994,0.051287,0.000000,0.222863,0.155405,0.448713,0.558418,0.047847
inertia_mismatch,internal,raw_energy_threshold,all,0.488097,0.244049,0.000000,0.000000,0.488097,0.000000,0.352634,0.511903,0.000000,0.062863,0.125405,0.058990,0.558418,0.505208
inertia_mismatch,internal,uncertainty_gate,all,0.566154,0.283077,0.000000,0.000000,0.566154,0.000000,0.429489,0.433846,0.000000,0.082863,0.135405,0.051523,0.558418,0.428352
inertia_mismatch,internal,temporal_persistence_gate,all,0.610923,0.305462,0.000000,0.000000,0.610923,0.000000,0.471496,0.389077,0.000000,0.102863,0.145405,0.053469,0.558418,0.386345
inertia_mismatch,internal,residual_shape_only,all,0.845410,0.422705,0.000000,0.000000,0.845410,0.000000,0.712642,0.154590,0.000000,0.122863,0.155405,0.191896,0.558418,0.145199
