policy,accuracy,balanced_accuracy,precision,recall,specificity,f1,utility,harmful_false_recovery,missed_external_contact,tactile_burden,decision_latency,decision_margin,calibration_quality,oracle_regret
raw_energy_threshold,0.625305,0.625305,0.645881,0.554783,0.695828,0.596876,0.491366,0.152086,0.222608,0.062863,0.125405,0.099522,0.558418,0.366475
uncertainty_gate,0.605218,0.605218,0.639531,0.482260,0.728177,0.549871,0.450707,0.135912,0.258870,0.082863,0.135405,0.095281,0.558418,0.407134
temporal_persistence_gate,0.594317,0.594317,0.622413,0.479560,0.709074,0.541727,0.433288,0.145463,0.260220,0.102863,0.145405,0.084087,0.558418,0.424553
residual_shape_only,0.655197,0.655197,0.747675,0.468507,0.841888,0.576050,0.485844,0.079056,0.265747,0.122863,0.155405,0.135574,0.558418,0.371997
uncalibrated_causal_residual,0.680852,0.680852,0.744635,0.550489,0.811215,0.633010,0.524256,0.094392,0.224756,0.142863,0.165405,0.118210,0.558418,0.333585
calibrated_causal_tactile_residual,0.759252,0.759252,0.809674,0.677841,0.840663,0.737916,0.620843,0.079668,0.161079,0.182863,0.175405,0.151078,0.558418,0.236998
oracle_source_classifier,0.948488,0.948488,0.947303,0.949813,0.947163,0.948556,0.857841,0.026419,0.025094,0.222863,0.155405,0.448488,0.558418,0.000000
