calibration,policy,group,accuracy,balanced_accuracy,precision,recall,specificity,f1,utility,harmful_false_recovery,missed_external_contact,tactile_burden,decision_latency,decision_margin,calibration_quality,oracle_regret
ideal,raw_energy_threshold,all,0.628121,0.628121,0.652872,0.547169,0.709073,0.595365,0.499739,0.145463,0.226416,0.059081,0.086833,0.100534,0.652964,0.358102
ideal,uncertainty_gate,all,0.607451,0.607451,0.646442,0.474324,0.740579,0.547167,0.458387,0.129711,0.262838,0.079081,0.096833,0.096856,0.652964,0.399454
ideal,temporal_persistence_gate,all,0.599570,0.599570,0.632448,0.475454,0.723686,0.542828,0.444846,0.138157,0.262273,0.099081,0.106833,0.086915,0.652964,0.412995
ideal,residual_shape_only,all,0.696518,0.696518,0.774045,0.555068,0.837968,0.646518,0.552453,0.081016,0.222466,0.119081,0.116833,0.133839,0.652964,0.305388
ideal,uncalibrated_causal_residual,all,0.708770,0.708770,0.756697,0.615416,0.802124,0.678783,0.572671,0.098938,0.192292,0.139081,0.126833,0.119026,0.652964,0.285170
ideal,calibrated_causal_tactile_residual,all,0.775623,0.775623,0.819619,0.706798,0.844448,0.759039,0.650220,0.077776,0.146601,0.179081,0.136833,0.149851,0.652964,0.207621
ideal,oracle_source_classifier,all,0.953688,0.953688,0.952489,0.955013,0.952363,0.953749,0.870978,0.023818,0.022493,0.219081,0.116833,0.453688,0.652964,0.000000
mild_shape_attenuation,raw_energy_threshold,all,0.625555,0.625555,0.649244,0.546194,0.704917,0.593277,0.493202,0.147541,0.226903,0.061727,0.106833,0.100454,0.586815,0.364639
mild_shape_attenuation,uncertainty_gate,all,0.605134,0.605134,0.642272,0.474618,0.735650,0.545862,0.452319,0.132175,0.262691,0.081727,0.116833,0.096700,0.586815,0.405522
mild_shape_attenuation,temporal_persistence_gate,all,0.595520,0.595520,0.626305,0.473652,0.717387,0.539386,0.436532,0.141306,0.263174,0.101727,0.126833,0.086043,0.586815,0.421310
mild_shape_attenuation,residual_shape_only,all,0.663269,0.663269,0.760766,0.476326,0.850212,0.585846,0.498966,0.074894,0.261837,0.121727,0.136833,0.135196,0.586815,0.358875
mild_shape_attenuation,uncalibrated_causal_residual,all,0.687380,0.687380,0.751027,0.560606,0.814154,0.641994,0.536220,0.092923,0.219697,0.141727,0.146833,0.118042,0.586815,0.321621
mild_shape_attenuation,calibrated_causal_tactile_residual,all,0.763905,0.763905,0.817201,0.679895,0.847915,0.742252,0.629253,0.076042,0.160052,0.181727,0.156833,0.151409,0.586815,0.228588
mild_shape_attenuation,oracle_source_classifier,all,0.950050,0.950050,0.948860,0.951375,0.948725,0.950116,0.862905,0.025638,0.024313,0.221727,0.136833,0.450050,0.586815,0.000000
severe_shape_attenuation,raw_energy_threshold,all,0.622339,0.622339,0.644559,0.545484,0.699194,0.590897,0.484072,0.150403,0.227258,0.065373,0.136833,0.100355,0.495669,0.373769
severe_shape_attenuation,uncertainty_gate,all,0.602237,0.602237,0.636866,0.475727,0.728746,0.544628,0.443932,0.135627,0.262136,0.085373,0.146833,0.096571,0.495669,0.413909
