calibration,policy,group,accuracy,balanced_accuracy,precision,recall,specificity,f1,utility,harmful_false_recovery,missed_external_contact,tactile_burden,decision_latency,decision_margin,calibration_quality,oracle_regret
severe_shape_attenuation,temporal_persistence_gate,all,0.590337,0.590337,0.617820,0.473705,0.706969,0.536248,0.425623,0.146516,0.263148,0.105373,0.156833,0.084414,0.495669,0.432218
severe_shape_attenuation,residual_shape_only,all,0.612135,0.612135,0.724983,0.361342,0.862928,0.482299,0.417703,0.068536,0.319329,0.125373,0.166833,0.149392,0.495669,0.440139
severe_shape_attenuation,uncalibrated_causal_residual,all,0.650973,0.650973,0.738933,0.466903,0.835042,0.572234,0.474558,0.082479,0.266548,0.145373,0.176833,0.124346,0.495669,0.383283
severe_shape_attenuation,calibrated_causal_tactile_residual,all,0.737989,0.737989,0.813219,0.617896,0.858081,0.702229,0.584973,0.070959,0.191052,0.185373,0.186833,0.155107,0.495669,0.272868
severe_shape_attenuation,oracle_source_classifier,all,0.945037,0.945037,0.943861,0.946362,0.943712,0.945110,0.851390,0.028144,0.026819,0.225373,0.166833,0.445037,0.495669,0.006451
asymmetry_bias,raw_energy_threshold,all,0.626712,0.626712,0.650328,0.548164,0.705260,0.594891,0.496320,0.147370,0.225918,0.061328,0.096833,0.100688,0.596799,0.361521
asymmetry_bias,uncertainty_gate,all,0.606215,0.606215,0.643531,0.476223,0.736207,0.547377,0.455354,0.131896,0.261889,0.081328,0.106833,0.096641,0.596799,0.402488
asymmetry_bias,temporal_persistence_gate,all,0.596734,0.596734,0.628315,0.473675,0.719793,0.540145,0.439434,0.140103,0.263162,0.101328,0.116833,0.086602,0.596799,0.418407
asymmetry_bias,residual_shape_only,all,0.684656,0.684656,0.740693,0.568249,0.801064,0.643112,0.540970,0.099468,0.215876,0.121328,0.126833,0.118775,0.596799,0.316872
asymmetry_bias,uncalibrated_causal_residual,all,0.697901,0.697901,0.739786,0.610563,0.785239,0.668991,0.558557,0.107381,0.194719,0.141328,0.136833,0.112581,0.596799,0.299285
asymmetry_bias,calibrated_causal_tactile_residual,all,0.774385,0.774385,0.791615,0.744844,0.803927,0.767517,0.654201,0.098037,0.127578,0.181328,0.146833,0.146163,0.596799,0.203640
asymmetry_bias,oracle_source_classifier,all,0.950599,0.950599,0.949408,0.951924,0.949274,0.950664,0.865240,0.025363,0.024038,0.221328,0.126833,0.450599,0.596799,0.000000
onset_latency_skew,raw_energy_threshold,all,0.625324,0.625324,0.648593,0.547027,0.703621,0.593496,0.476871,0.148189,0.226487,0.062738,0.206833,0.100871,0.561557,0.380970
onset_latency_skew,uncertainty_gate,all,0.604932,0.604932,0.641375,0.476043,0.733821,0.546478,0.436174,0.133090,0.261979,0.082738,0.216833,0.097035,0.561557,0.421668
onset_latency_skew,temporal_persistence_gate,all,0.590767,0.590767,0.615646,0.483200,0.698333,0.541441,0.417351,0.150833,0.258400,0.102738,0.226833,0.080224,0.561557,0.440490
onset_latency_skew,residual_shape_only,all,0.667818,0.667818,0.745924,0.509016,0.826619,0.605108,0.493892,0.086690,0.245492,0.122738,0.236833,0.126325,0.561557,0.363949
onset_latency_skew,uncalibrated_causal_residual,all,0.686920,0.686920,0.744563,0.569071,0.804769,0.645094,0.521162,0.097616,0.215465,0.142738,0.246833,0.116201,0.561557,0.336679
onset_latency_skew,calibrated_causal_tactile_residual,all,0.766027,0.766027,0.805695,0.701146,0.830909,0.749794,0.619308,0.084546,0.149427,0.182738,0.256833,0.149888,0.561557,0.238533
onset_latency_skew,oracle_source_classifier,all,0.948661,0.948661,0.947475,0.949986,0.947336,0.948729,0.845044,0.026332,0.025007,0.222738,0.236833,0.448661,0.561557,0.012797
spatial_blur,raw_energy_threshold,all,0.624870,0.624870,0.641639,0.565675,0.684066,0.601267,0.494252,0.157967,0.217163,0.064160,0.116833,0.098209,0.526005,0.363589
spatial_blur,uncertainty_gate,all,0.605333,0.605333,0.636236,0.491915,0.718751,0.554844,0.453933,0.140625,0.254042,0.084160,0.126833,0.093331,0.526005,0.403908
spatial_blur,temporal_persistence_gate,all,0.594422,0.594422,0.620921,0.484849,0.703995,0.544513,0.435614,0.148003,0.257576,0.104160,0.136833,0.083355,0.526005,0.422227
spatial_blur,residual_shape_only,all,0.626734,0.626734,0.739179,0.391669,0.861798,0.512029,0.442402,0.069101,0.304165,0.124160,0.146833,0.144799,0.526005,0.415439
spatial_blur,uncalibrated_causal_residual,all,0.664195,0.664195,0.743107,0.501895,0.826494,0.599135,0.498698,0.086753,0.249052,0.144160,0.156833,0.120508,0.526005,0.359143
spatial_blur,calibrated_causal_tactile_residual,all,0.745749,0.745749,0.816107,0.634461,0.857037,0.713911,0.599704,0.071481,0.182769,0.184160,0.166833,0.153470,0.526005,0.258137
spatial_blur,oracle_source_classifier,all,0.946705,0.946705,0.945525,0.948030,0.945380,0.946776,0.856825,0.027310,0.025985,0.224160,0.146833,0.446705,0.526005,0.001016
cross_axis_coupling,raw_energy_threshold,all,0.624217,0.624217,0.635149,0.583771,0.664662,0.608377,0.495103,0.167669,0.208114,0.065635,0.126833,0.095544,0.489116,0.362738
cross_axis_coupling,uncertainty_gate,all,0.605226,0.605226,0.630962,0.506969,0.703483,0.562210,0.454853,0.148259,0.246515,0.085635,0.136833,0.089830,0.489116,0.402988
cross_axis_coupling,temporal_persistence_gate,all,0.592871,0.592871,0.616230,0.492384,0.693358,0.547390,0.433617,0.153321,0.253808,0.105635,0.146833,0.081052,0.489116,0.424224
cross_axis_coupling,residual_shape_only,all,0.635253,0.635253,0.739280,0.417877,0.852629,0.533944,0.454523,0.073686,0.291061,0.125635,0.156833,0.140693,0.489116,0.403318
cross_axis_coupling,uncalibrated_causal_residual,all,0.669826,0.669826,0.736434,0.528966,0.810686,0.615693,0.507925,0.094657,0.235517,0.145635,0.166833,0.116765,0.489116,0.349916
cross_axis_coupling,calibrated_causal_tactile_residual,all,0.751087,0.751087,0.807131,0.659849,0.842325,0.726097,0.608242,0.078837,0.170076,0.185635,0.176833,0.151657,0.489116,0.249599
cross_axis_coupling,oracle_source_classifier,all,0.944676,0.944676,0.943501,0.946001,0.943351,0.944750,0.852507,0.028324,0.026999,0.225635,0.156833,0.444676,0.489116,0.005334
